timestamp_scrape,percentage,location_name,last_count,updated,open_boolean
2023-07-19 19:17:46.087869-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:17:46.088128-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:17:46.088373-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:17:46.088729-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:17:46.088957-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:23:02.800323-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:23:02.800536-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:23:02.800710-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:23:02.800881-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:23:02.801046-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:26:26.070853-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 06:57 PM,True
2023-07-19 19:26:26.071119-04:00,20,Functional Training Area,5,07/19/2023 07:03 PM,True
2023-07-19 19:26:26.071341-04:00,100,Marino Center - 3rd Floor Weight Room,68,07/19/2023 07:06 PM,True
2023-07-19 19:26:26.071651-04:00,81.111111111111,Marino Center - 3rd Floor Select & Cardio,73,07/19/2023 07:06 PM,True
2023-07-19 19:26:26.071866-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:35:03.354923-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:35:03.355261-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:35:03.355520-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:35:03.355775-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:35:03.356019-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:44:38.809881-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:44:38.810123-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:44:38.810329-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:44:38.810502-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:44:38.810711-04:00,100,SquashBusters - 4th Floor,70,07/19/2023 07:15 PM,True
2023-07-19 19:50:25.289908-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:50:25.290137-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:50:25.290386-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:50:25.290573-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:50:25.290750-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 19:55:34.806354-04:00,52.380952380952,Marino Center - 2nd Floor,55,07/19/2023 07:28 PM,True
2023-07-19 19:55:34.806567-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 19:55:34.806740-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 19:55:34.806931-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 19:55:34.807100-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:01:25.036071-04:00,56.190476190476,Marino Center - 2nd Floor,59,07/19/2023 07:57 PM,True
2023-07-19 20:01:25.036350-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:01:25.036551-04:00,100,Marino Center - 3rd Floor Weight Room,74,07/19/2023 07:29 PM,True
2023-07-19 20:01:25.036751-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 20:01:25.036945-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:21:43.261835-04:00,56.190476190476,Marino Center - 2nd Floor,59,07/19/2023 07:57 PM,True
2023-07-19 20:21:43.262078-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:21:43.262295-04:00,100,Marino Center - 3rd Floor Weight Room,65,07/19/2023 08:01 PM,True
2023-07-19 20:21:43.262492-04:00,76.666666666667,Marino Center - 3rd Floor Select & Cardio,69,07/19/2023 08:01 PM,True
2023-07-19 20:21:43.262704-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:34:18.110537-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 08:28 PM,True
2023-07-19 20:34:18.110802-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:34:18.111015-04:00,95.384615384615,Marino Center - 3rd Floor Weight Room,62,07/19/2023 08:30 PM,True
2023-07-19 20:34:18.111226-04:00,67.777777777778,Marino Center - 3rd Floor Select & Cardio,61,07/19/2023 08:30 PM,True
2023-07-19 20:34:18.111440-04:00,85,SquashBusters - 4th Floor,51,07/19/2023 08:30 PM,True
2023-07-19 21:52:34.542092-04:00,28.571428571429,Marino Center - 2nd Floor,30,07/19/2023 09:22 PM,True
2023-07-19 21:52:34.542323-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 21:52:34.542508-04:00,49.230769230769,Marino Center - 3rd Floor Weight Room,32,07/19/2023 09:28 PM,True
2023-07-19 21:52:34.542694-04:00,50,Marino Center - 3rd Floor Select & Cardio,45,07/19/2023 09:28 PM,True
2023-07-19 21:52:34.542872-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:26:45.993409-04:00,30.47619047619,Marino Center - 2nd Floor,32,07/19/2023 10:24 PM,True
2023-07-19 22:26:45.993656-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:26:45.993856-04:00,46.153846153846,Marino Center - 3rd Floor Weight Room,30,07/19/2023 09:58 PM,True
2023-07-19 22:26:45.994053-04:00,42.222222222222,Marino Center - 3rd Floor Select & Cardio,38,07/19/2023 09:58 PM,True
2023-07-19 22:26:45.994244-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:43:02.947958-04:00,20.952380952381,Marino Center - 2nd Floor,22,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948187-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:43:02.948379-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948636-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948819-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:48:56.297161-04:00,20.952380952381,Marino Center - 2nd Floor,22,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297378-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:48:56.297553-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297725-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297891-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 23:05:34.161024-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-19 23:05:34.161237-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 23:05:34.161415-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 23:05:34.161589-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 23:05:34.161758-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 23:21:47.226565-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-19 23:21:47.226774-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 23:21:47.226950-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 23:21:47.227122-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 23:21:47.227291-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 23:31:02.361465-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-19 23:31:02.361697-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 23:31:02.361934-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 23:31:02.362158-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 23:31:02.362341-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 23:46:02.829910-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-19 23:46:02.830178-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 23:46:02.830398-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 23:46:02.830613-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 23:46:02.830821-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 00:06:35.317706-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 00:06:35.317937-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 00:06:35.318124-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 00:06:35.318309-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 00:06:35.318488-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 00:25:14.811854-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 00:25:14.812076-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 00:25:14.812261-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 00:25:14.812446-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 00:25:14.812623-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 00:31:48.287974-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 00:31:48.288257-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 00:31:48.288484-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 00:31:48.288840-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 00:31:48.289168-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 00:46:05.404067-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 00:46:05.404292-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 00:46:05.404490-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 00:46:05.404671-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 00:46:05.404948-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 01:03:48.622235-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 01:03:48.622493-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 01:03:48.622713-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 01:03:48.622930-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 01:03:48.623138-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 01:24:03.136648-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 01:24:03.136872-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 01:24:03.137059-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 01:24:03.137243-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 01:24:03.137420-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 01:31:13.101009-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 01:31:13.101259-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 01:31:13.101456-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 01:31:13.101651-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 01:31:13.101842-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 01:46:09.890553-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 01:46:09.890766-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 01:46:09.890942-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 01:46:09.891117-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 01:46:09.891286-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 02:07:27.057511-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 02:07:27.057735-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 02:07:27.057908-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 02:07:27.058082-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 02:07:27.058247-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 02:26:48.925659-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 02:26:48.925882-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 02:26:48.926069-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 02:26:48.926253-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 02:26:48.926432-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 02:34:38.384494-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 02:34:38.384774-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 02:34:38.384995-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 02:34:38.385233-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 02:34:38.385451-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 02:45:56.281898-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 02:45:56.282125-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 02:45:56.282309-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 02:45:56.282495-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 02:45:56.282674-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 03:02:59.537760-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 03:02:59.537983-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 03:02:59.538159-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 03:02:59.538332-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:02:59.538500-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 03:19:19.788006-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 03:19:19.788304-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 03:19:19.788554-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 03:19:19.788814-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:19:19.789050-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 03:33:27.652246-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 03:33:27.652466-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 03:33:27.652640-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 03:33:27.652810-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:33:27.652977-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 03:45:58.080428-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 03:45:58.080659-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 03:45:58.080846-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 03:45:58.081030-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:45:58.081207-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:07:29.302774-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:07:29.303007-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:07:29.303194-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:07:29.303379-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:07:29.303558-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:25:55.879549-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:25:55.879979-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:25:55.880231-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:25:55.880454-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:25:55.880661-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:32:40.293469-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:32:40.293702-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:32:40.293890-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:32:40.294075-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:32:40.294252-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:46:10.096803-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:46:10.097088-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:46:10.097317-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:46:10.097486-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
